Country;AGR;MIN;PS;CON;SER;FIN;SPS;TC
BELGIEN;3,3;0,9;0,9;8,2;19,1;6,2;26,6;7,2
DANMARK;9,2;0,1;0,6;8,3;14,6;6,5;32,2;7,1
FRANKRIKE;10,8;0,8;0,9;8,9;16,8;6;22,6;5,7
VÄSTTYSKLAND;6,7;1,3;0,9;7,3;14,4;5;22,3;6,1
IRLAND;23,2;1;1,3;7,5;16,8;2,8;20,8;6,1
LUXENBURG;7,7;3,1;0,8;9,2;18,5;4,6;19,2;6,2
BRITTEN;2,7;1,4;1,4;6,9;16,9;5,7;28,3;6,4
FINLAND;13;0,4;1,3;7,4;14,7;5,5;24,3;7,6
NORGE;9;0,5;0,8;8,6;16,9;4,7;27,6;9,4
PORTUGAL;27,8;0,3;0,6;8,4;13,3;2,7;16,7;5,7
SPANIEN;22,9;0,8;0,7;11,5;9,7;8,5;11,8;5,5
SVERIGE;6,1;0,4;0,8;7,2;14,4;6;32,4;6,8
SCHWEIZ;7,7;0,2;0,8;9,5;17,5;5,3;15,4;5,7
BULGARIEN;23,6;1,9;0,6;7,9;8;0,7;18,2;6,7
ÖSTTYSKLAND;4,2;2,9;1,3;7,6;11,2;1,2;22,1;8,4
UNGERN;21,7;3,1;1,9;8,2;9,4;0,9;17,2;8
POLEN;31,1;2,5;0,9;8,4;7,5;0,9;16,1;6,9
RUMÄNIEN;34,7;2,1;0,6;8,7;5,9;1,3;11,7;5
SOVJET;23,7;1,4;0,6;9,2;6,1;0,5;23,6;9,3
JUGOSLAVIEN;48,7;1,5;1,1;4,9;6,4;11,3;5,3;4
